,Predicted Beta,Calculated Beta,Norms,Times,,Average Norm,Average Pred Beta,Average Calc,Time Sum
184,42.31175579,45,1.283382393,87.75975132,,,,,
185,45.87576528,44,1.440964282,87.39875054,,,,,
186,44.19934251,46,1.366964535,94.54866409,,,,,
187,47.22663681,38,1.506227183,78.07139993,,,,,
188,51.94100812,45,1.755838197,84.98685551,,,,,
189,47.07585757,44,1.501891958,83.53967595,,,,,
190,51.3504152,46,1.730044393,91.54665732,,,,,
191,51.61852031,52,1.733394114,176.2256367,,,,,
192,45.51422076,43,1.428844865,80.77968812,,,,,
193,46.80165483,42,1.489185965,81.95872569,,,,,
194,50.37418803,36,1.674087304,72.88373518,,,,,
195,47.49663145,48,1.525009877,108.50685,,,,,
196,43.99055278,40,1.359643711,74.97278929,,,,,
197,53.43683427,52,1.846932259,178.1761534,,,,,
198,44.9738361,41,1.400671566,77.9594183,,,,,
199,43.72842027,39,1.345930459,76.07410526,,,,,
200,39.87901712,34,1.189891594,65.17116928,,,,,
201,46.07479894,49,1.450683909,128.5126116,,,,,
202,50.36051897,46,1.673830063,92.14136171,,,,,
203,43.66172821,44,1.338595135,83.92958832,,,,,
204,45.36944445,40,1.420099374,78.94046092,,,,,
205,47.43477173,46,1.523645518,96.39875865,,,,,
206,47.85276705,48,1.534168972,113.5811582,,,,,
207,48.9265278,49,1.590208135,129.8234274,,,,,
208,46.7452162,52,1.479048585,180.3237033,,,,,
209,45.05961654,43,1.405461495,83.81444764,,,,,
210,52.27043943,54,1.781504646,214.7878017,,,,,
211,47.2769151,40,1.518817364,78.42841029,,,,,
212,51.01872472,51,1.71028242,158.9681907,,,,,
213,48.95937744,55,1.590270527,233.7248709,,,,,
214,47.08568673,47,1.500281255,107.7976022,,,,,
215,52.16493938,52,1.760539715,178.5863259,,,,,
216,51.57828302,49,1.740678163,122.7589157,,,,,
217,46.08672667,46,1.455734642,98.15821075,,,,,
218,51.97683961,50,1.76250719,142.8994918,,,,,
219,52.65063108,47,1.804848511,106.9169297,,,,,
220,49.25213929,50,1.60749388,144.4779067,,,,,
221,51.62038224,46,1.743212001,99.4116869,,,,,
222,42.9946115,45,1.316426962,90.25006533,,,,,
223,49.13200255,47,1.60360196,102.0945778,,,,,
224,47.4461261,42,1.52389847,74.31928372,,,,,
225,42.50415123,39,1.293330044,73.959409,,,,,
226,50.81600907,45,1.698712071,90.69221473,,,,,
227,48.44956495,50,1.559576531,145.5160556,,,,,
228,49.99691153,49,1.651059882,124.8525722,,,,,
229,51.18643933,50,1.715521733,137.9556625,,,,,
230,47.28121042,47,1.504974617,106.0886729,,,,,
231,48.55648735,47,1.567541679,107.1461527,,,,,
232,51.08546925,48,1.704227161,114.7234659,,,,,
233,39.28300201,33,1.161706911,68.14075232,,,,,
234,45.80872363,45,1.440870727,91.63158107,,,,,
235,47.9413555,47,1.546713748,105.7228167,,,,,
236,47.53149319,39,1.520244658,73.09326124,,,,,
237,50.637257,47,1.691836416,107.1138866,,,,,
238,50.85118985,53,1.695614913,194.0189981,,,,,
